Timestamp UTC,Accelerometer X,Accelerometer Y,Accelerometer Z,label
2020-07-31 17:26:30.000,,,,7.0
2020-07-31 17:26:30.003,,,,7.0
2020-07-31 17:26:30.007,,,,7.0
2020-07-31 17:26:30.011,,,,7.0
2020-07-31 17:26:30.015,,,,7.0
2020-07-31 17:26:30.019,,,,7.0
2020-07-31 17:26:30.023,,,,7.0
2020-07-31 17:26:30.027,,,,7.0
2020-07-31 17:26:30.031,,,,7.0
2020-07-31 17:26:30.035,,,,7.0
2020-07-31 17:26:30.039,,,,7.0
2020-07-31 17:26:30.042,,,,7.0
2020-07-31 17:26:30.046,,,,7.0
2020-07-31 17:26:30.050,,,,7.0
2020-07-31 17:26:30.054,,,,7.0
2020-07-31 17:26:30.058,,,,7.0
2020-07-31 17:26:30.062,,,,7.0
2020-07-31 17:26:30.066,,,,7.0
2020-07-31 17:26:30.070,,,,7.0
2020-07-31 17:26:30.074,,,,7.0
2020-07-31 17:26:30.078,,,,7.0
2020-07-31 17:26:30.082,,,,7.0
2020-07-31 17:26:30.085,,,,7.0
2020-07-31 17:26:30.089,,,,7.0
2020-07-31 17:26:30.093,,,,7.0
2020-07-31 17:26:30.097,,,,7.0
2020-07-31 17:26:30.101,,,,7.0
2020-07-31 17:26:30.105,,,,7.0
2020-07-31 17:26:30.109,,,,7.0
2020-07-31 17:26:30.113,,,,7.0
2020-07-31 17:26:30.117,,,,7.0
2020-07-31 17:26:30.121,,,,7.0
2020-07-31 17:26:30.125,,,,7.0
2020-07-31 17:26:30.128,,,,7.0
2020-07-31 17:26:30.132,,,,7.0
2020-07-31 17:26:30.136,,,,7.0
2020-07-31 17:26:30.140,,,,7.0
2020-07-31 17:26:30.144,,,,7.0
2020-07-31 17:26:30.148,,,,7.0
2020-07-31 17:26:30.152,,,,7.0
2020-07-31 17:26:30.156,,,,7.0
2020-07-31 17:26:30.160,,,,7.0
2020-07-31 17:26:30.164,,,,7.0
2020-07-31 17:26:30.167,,,,7.0
2020-07-31 17:26:30.171,,,,7.0
2020-07-31 17:26:30.175,,,,7.0
2020-07-31 17:26:30.179,,,,7.0
2020-07-31 17:26:30.183,,,,7.0
2020-07-31 17:26:30.187,,,,7.0
2020-07-31 17:26:30.191,,,,7.0
2020-07-31 17:26:30.195,,,,7.0
